AssignmentStatus	tweetId	num taggers	label	instance	start	end	tweetText
False	'451459804704567297'	2	type of impact	quake	77	82	RT @AlexandraUlmer: Now for the bad news.... Seismologist says Tuesday's 8.2 quake in #Chile was likely not 'the big one' http://t.co/wHwiX�??
True	'451459804704567297'	2	location modifier	in	83	85	RT @AlexandraUlmer: Now for the bad news.... Seismologist says Tuesday's 8.2 quake in #Chile was likely not 'the big one' http://t.co/wHwiX�??
False	'451459804704567297'	1	severity or quantity	8.2 quake	73	82	RT @AlexandraUlmer: Now for the bad news.... Seismologist says Tuesday's 8.2 quake in #Chile was likely not 'the big one' http://t.co/wHwiX�??
True	'451459804704567297'	4	place name	Chile	87	92	RT @AlexandraUlmer: Now for the bad news.... Seismologist says Tuesday's 8.2 quake in #Chile was likely not 'the big one' http://t.co/wHwiX�??
False	'451459804704567297'	2	severity or quantity	8.2	73	76	RT @AlexandraUlmer: Now for the bad news.... Seismologist says Tuesday's 8.2 quake in #Chile was likely not 'the big one' http://t.co/wHwiX�??
True	'451411290951782400'	3	place name	Chile	44	49	RT @PFourDigital: A powerful earthquake hit Chile last night. Magnitude 8.2 that produced tsunamis that are already hitting the coast. #Fue�??
True	'451411290951782400'	1	location modifier	the coast	124	133	RT @PFourDigital: A powerful earthquake hit Chile last night. Magnitude 8.2 that produced tsunamis that are already hitting the coast. #Fue�??
False	'451411290951782400'	2	type of impact	earthquake	29	39	RT @PFourDigital: A powerful earthquake hit Chile last night. Magnitude 8.2 that produced tsunamis that are already hitting the coast. #Fue�??
False	'451411290951782400'	1	severity or quantity	tsunamis	90	98	RT @PFourDigital: A powerful earthquake hit Chile last night. Magnitude 8.2 that produced tsunamis that are already hitting the coast. #Fue�??
False	'451411290951782400'	2	severity or quantity	Magnitude 8.2	62	75	RT @PFourDigital: A powerful earthquake hit Chile last night. Magnitude 8.2 that produced tsunamis that are already hitting the coast. #Fue�??
True	'451411290951782400'	2	type of impact	tsunamis	90	98	RT @PFourDigital: A powerful earthquake hit Chile last night. Magnitude 8.2 that produced tsunamis that are already hitting the coast. #Fue�??
False	'451411290951782400'	1	item affected	coast	128	133	RT @PFourDigital: A powerful earthquake hit Chile last night. Magnitude 8.2 that produced tsunamis that are already hitting the coast. #Fue�??
False	'382861569442713600'	1	severity or quantity	Balochistan	91	102	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
True	'382861569442713600'	3	location modifier	in	46	48	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
False	'382861569442713600'	2	severity or quantity	7.8 magnitude	20	33	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
